UASG;Número do Pregão;Ano do Pregão;Número do Item;QUANTIDADE
160212;00006;2023;00006;11
160192;00006;2023;00033;150
160192;00006;2023;00058;20
160192;00006;2023;00068;300
160192;00006;2023;00031;250
160222;90019;2024;00003;1
160224;00001;2024;00001;1
160033;00002;2023;00151;50
160145;00007;2023;00121;50
160217;00001;2023;00006;30
160211;00002;2023;00110;1
160192;00006;2023;00050;3
160192;00006;2023;00103;3
160192;00006;2023;00122;10
160192;00006;2023;00124;8
160224;00002;2024;00001;2
160192;00006;2023;00006;2
160192;00006;2023;00062;3
160192;00006;2023;00077;9
160192;00006;2023;00014;15
160192;00006;2023;00044;16
160192;00013;2023;00083;20
160224;90001;2024;00010;1
160217;00001;2023;00059;10
160192;00006;2023;00009;3
160315;00007;2022;00071;15
160217;00005;2023;00004;25
160224;90070;2024;00001;390
160212;00003;2023;00005;30
160212;00003;2023;00006;100
160212;00003;2023;00007;12
160209;00016;2023;00080;28
160223;00008;2023;00071;1
160212;00006;2023;00007;104
160213;00003;2023;00001;10
160213;00003;2023;00002;9
160213;00003;2023;00009;6
160213;00003;2023;00015;10
160224;00003;2024;00001;1
160455;00001;2023;00041;46
160224;00002;2023;00017;1
160212;00003;2023;00001;50
160212;00003;2023;00002;10
160212;00003;2023;00010;50
160212;00003;2023;00011;100
160212;00003;2023;00012;100
160212;00003;2023;00013;100
160212;00003;2023;00014;100
160212;00003;2023;00015;100
160212;00003;2023;00019;100
160212;00003;2023;00024;10
160212;00003;2023;00016;100
160212;00003;2023;00017;100
160212;00003;2023;00018;100
160212;00003;2023;00020;100
160212;00003;2023;00021;100
160212;00003;2023;00022;100
160212;00003;2023;00023;50
160212;00003;2023;00026;10
160212;00003;2023;00039;60
160212;00003;2023;00040;60
160212;00003;2023;00028;5
160212;00003;2023;00029;5
160212;00003;2023;00030;20
160212;00003;2023;00031;20
160192;00006;2023;00014;7
160192;00006;2023;00056;2
